### Cluster 50 — Symptoms (107)
Symptom,Frequency 
cramp-like tension in shoulders,burning on right shoulder,1.0,1
cramp-like tension in shoulders,toes stinging,1.0,1
cramp-like tension in shoulders,drawing rheumatic pains in right shoulder,1.0,1
cramp-like tension in shoulders,tearing in hip,1.0,1
cramp-like tension in shoulders,voice almost fails at times,1.0,1
cramp-like tension in shoulders,sensation as if tendons of wrist were shortened,1.0,1
cramp-like tension in shoulders,pains at every weather change,1.0,1
cramp-like tension in shoulders,sensation of stiffness in legs after sleep in evening,1.0,1
cramp-like tension in shoulders,prickling stitches in joints of fingers,1.0,1
cramp-like tension in shoulders,cold knees,1.0,1
cramp-like tension in shoulders,shoulder pain worse from motion,1.0,1
cramp-like tension in shoulders,tearing in right hip,1.0,1
cramp-like tension in shoulders,drawing in arm on which he lies at night,1.0,1
cramp-like tension in shoulders,boring pains in limbs,1.0,1
cramp-like tension in shoulders,pressing cramp-like pain in small of back,1.0,1
cramp-like tension in shoulders,stitches in shoulders,1.0,1
cramp-like tension in shoulders,lancinating pain in wrists when grasping,1.0,1
cramp-like tension in shoulders,sensation of plug in back,1.0,1
cramp-like tension in shoulders,sensation as if tendons of hand were shortened,1.0,1
cramp-like tension in shoulders,sprained pain in right hand,1.0,1
cramp-like tension in shoulders,back pain worse on sitting,1.0,1
cramp-like tension in shoulders,drawing in thigh,1.0,1
cramp-like tension in shoulders,lack of strength in knees,1.0,1
cramp-like tension in shoulders,cramp-like pain on outside of left thigh,1.0,1
cramp-like tension in shoulders,knees go to sleep,1.0,1
cramp-like tension in shoulders,pain in joints of hands,1.0,1
cramp-like tension in shoulders,drawing pain from abdomen down into leg,1.0,1
cramp-like tension in shoulders,great depression of vital forces,1.0,1
cramp-like tension in shoulders,arms weary when writing,1.0,1
cramp-like tension in shoulders,burning in fingers,1.0,1
cramp-like tension in shoulders,limbs go to sleep,1.0,1
cramp-like tension in shoulders,burning in bones,1.0,1
cramp-like tension in shoulders,heartburn very persistent,1.0,1
cramp-like tension in shoulders,thigh stitches passing downward when walking,1.0,1
cramp-like tension in shoulders,stiffness of nape,1.0,1
cramp-like tension in shoulders,paralytic weakness of right shoulder,1.0,1
cramp-like tension in shoulders,great inclination to stretch limbs in evening,1.0,1
cramp-like tension in shoulders,stitches in thigh,1.0,1
cramp-like tension in shoulders,limbs are bruised,1.0,1
cramp-like tension in shoulders,severe nosebleed almost daily,1.0,1
cramp-like tension in shoulders,toes red,1.0,1
cramp-like tension in shoulders,hip pain extending to thigh,1.0,1
cramp-like tension in shoulders,painful sensation as if hat band were too tight,1.0,1
cramp-like tension in shoulders,tearing in fingers of left hand,1.0,1
cramp-like tension in shoulders,bone pain painful on pressure,1.0,1
cramp-like tension in shoulders,complementary with kali carb.,1.0,1
burning in thigh,burning in limbs,1.0,1
burning in thigh,rheumatic drawing from loins to coccyx,1.0,1
burning in thigh,drawing tearing in left arm from elbow to hand,1.0,1
burning in thigh,hip pain extending to sacrum,1.0,1
burning in thigh,prickling stitches in fingers,1.0,1
burning in thigh,toes swollen,1.0,1
burning in thigh,hand pain worse in windy weather,1.0,1
burning in thigh,shoulder pain worse in morning,1.0,1
burning in thigh,tension in thigh in morning,1.0,1
burning in thigh,pains when beginning to walk,1.0,1
burning in thigh,prostrated with rheumatic pains,1.0,1
burning in thigh,great hoarseness,1.0,1
burning in thigh,drawing in limbs,1.0,1
burning in thigh,sense of constriction in thigh,1.0,1
burning in thigh,elbow pain worse by touch,1.0,1
burning in thigh,tearing in right thigh,1.0,1
burning in thigh,burning about scapulae,1.0,1
burning in thigh,cold limbs,1.0,1
burning in thigh,left thigh pain when lifting it,1.0,1
burning in thigh,stitches in ankle joint,1.0,1
burning in thigh,paralytic weakness of right arm,1.0,1
burning in thigh,cramps in calves at night,1.0,1
burning in thigh,stiffness of thigh on standing,1.0,1
burning in thigh,tearing in either wrist,1.0,1
burning in thigh,pain in scapular region,1.0,1
burning in thigh,patients with lost vital forces from fluid loss,1.0,1
burning in thigh,back pain worse on stooping,1.0,1
burning in thigh,burning in joints of fingers,1.0,1
burning in thigh,cramp-like tension in shoulders,1.0,1
burning in thigh,drawing pain in nape up into head,1.0,1
burning in thigh,unable to sit,1.0,1
burning in thigh,cramps in lower leg when walking,1.0,1
burning in thigh,limbs go to sleep easily,1.0,1
burning in thigh,leg stiffness especially on first beginning to walk,1.0,1
burning in thigh,aching along spine,1.0,1
burning in thigh,paralytic pains in knees,1.0,1
burning in thigh,drawing pain in hip joints,1.0,1
burning in thigh,hat band sensation remains after hat removed,1.0,1
burning in thigh,bruised pain in elbow joints,1.0,1
burning in thigh,stiffness of back,1.0,1
burning in thigh,aching pain from loins to coccyx,1.0,1
burning in thigh,cramps in soles evenings after lying down,1.0,1
burning in thigh,burning on scapula,1.0,1
burning in thigh,boring in joints of fingers,1.0,1
burning in thigh,fingers drawn out of shape,1.0,1
burning in thigh,drawing in shafts of bones,1.0,1
burning in thigh,drawing pain in back,1.0,1
burning in thigh,drawing in joints of fingers,1.0,1
burning in thigh,burning about hips,1.0,1
burning in thigh,stitches in right great toe,1.0,1
burning in thigh,pinching pressing pain in lower spine,1.0,1
burning in thigh,tearing beneath hip,1.0,1
burning in thigh,spine is bent,1.0,1
burning in thigh,toe pain worse when walking,1.0,1
burning in thigh,pressing pain beneath coccyx,1.0,1
burning in thigh,roughness of voice,1.0,1
burning in thigh,tension in knees on waking,1.0,1
burning in thigh,boring in fingers,1.0,1
burning in thigh,rheumatic drawing in back,1.0,1
burning in thigh,stitches in patella on rising,1.0,1
burning in thigh,burning on right shoulder,1.0,1
burning in thigh,toes stinging,1.0,1
burning in thigh,drawing rheumatic pains in right shoulder,1.0,1
burning in thigh,tearing in hip,1.0,1
burning in thigh,voice almost fails at times,1.0,1
burning in thigh,sensation as if tendons of wrist were shortened,1.0,1
burning in thigh,pains at every weather change,1.0,1
burning in thigh,sensation of stiffness in legs after sleep in evening,1.0,1
burning in thigh,prickling stitches in joints of fingers,1.0,1
burning in thigh,cold knees,1.0,1
burning in thigh,shoulder pain worse from motion,1.0,1
burning in thigh,tearing in right hip,1.0,1
burning in thigh,drawing in arm on which he lies at night,1.0,1
burning in thigh,boring pains in limbs,1.0,1
burning in thigh,pressing cramp-like pain in small of back,1.0,1
burning in thigh,stitches in shoulders,1.0,1
burning in thigh,lancinating pain in wrists when grasping,1.0,1
burning in thigh,sensation of plug in back,1.0,1
burning in thigh,sensation as if tendons of hand were shortened,1.0,1
burning in thigh,sprained pain in right hand,1.0,1
burning in thigh,back pain worse on sitting,1.0,1
burning in thigh,drawing in thigh,1.0,1
burning in thigh,lack of strength in knees,1.0,1
burning in thigh,cramp-like pain on outside of left thigh,1.0,1
burning in thigh,knees go to sleep,1.0,1
burning in thigh,pain in joints of hands,1.0,1
burning in thigh,drawing pain from abdomen down into leg,1.0,1
burning in thigh,great depression of vital forces,1.0,1
burning in thigh,arms weary when writing,1.0,1
burning in thigh,burning in fingers,1.0,1
burning in thigh,limbs go to sleep,1.0,1
burning in thigh,burning in bones,1.0,1
burning in thigh,heartburn very persistent,1.0,1
burning in thigh,thigh stitches passing downward when walking,1.0,1
burning in thigh,stiffness of nape,1.0,1
burning in thigh,paralytic weakness of right shoulder,1.0,1
burning in thigh,great inclination to stretch limbs in evening,1.0,1
burning in thigh,stitches in thigh,1.0,1
burning in thigh,limbs are bruised,1.0,1
burning in thigh,severe nosebleed almost daily,1.0,1
burning in thigh,toes red,1.0,1
burning in thigh,hip pain extending to thigh,1.0,1
burning in thigh,painful sensation as if hat band were too tight,1.0,1
burning in thigh,tearing in fingers of left hand,1.0,1
burning in thigh,bone pain painful on pressure,1.0,1
burning in thigh,complementary with kali carb.,1.0,1
back pain worse on sitting,burning in limbs,1.0,1
back pain worse on sitting,rheumatic drawing from loins to coccyx,1.0,1
back pain worse on sitting,drawing tearing in left arm from elbow to hand,1.0,1
back pain worse on sitting,hip pain extending to sacrum,1.0,1
back pain worse on sitting,prickling stitches in fingers,1.0,1
back pain worse on sitting,toes swollen,1.0,1
back pain worse on sitting,hand pain worse in windy weather,1.0,1
back pain worse on sitting,shoulder pain worse in morning,1.0,1
back pain worse on sitting,tension in thigh in morning,1.0,1
back pain worse on sitting,pains when beginning to walk,1.0,1
back pain worse on sitting,prostrated with rheumatic pains,1.0,1
back pain worse on sitting,great hoarseness,1.0,1
back pain worse on sitting,drawing in limbs,1.0,1
back pain worse on sitting,sense of constriction in thigh,1.0,1
back pain worse on sitting,elbow pain worse by touch,1.0,1
back pain worse on sitting,tearing in right thigh,1.0,1
back pain worse on sitting,burning about scapulae,1.0,1
back pain worse on sitting,cold limbs,1.0,1
back pain worse on sitting,left thigh pain when lifting it,1.0,1
back pain worse on sitting,stitches in ankle joint,1.0,1
back pain worse on sitting,paralytic weakness of right arm,1.0,1
back pain worse on sitting,cramps in calves at night,1.0,1
back pain worse on sitting,stiffness of thigh on standing,1.0,1
back pain worse on sitting,tearing in either wrist,1.0,1
back pain worse on sitting,pain in scapular region,1.0,1
back pain worse on sitting,patients with lost vital forces from fluid loss,1.0,1
back pain worse on sitting,back pain worse on stooping,1.0,1
back pain worse on sitting,burning in joints of fingers,1.0,1
back pain worse on sitting,cramp-like tension in shoulders,1.0,1
back pain worse on sitting,drawing pain in nape up into head,1.0,1
back pain worse on sitting,unable to sit,1.0,1
back pain worse on sitting,cramps in lower leg when walking,1.0,1
back pain worse on sitting,limbs go to sleep easily,1.0,1
back pain worse on sitting,leg stiffness especially on first beginning to walk,1.0,1
back pain worse on sitting,aching along spine,1.0,1
back pain worse on sitting,paralytic pains in knees,1.0,1
back pain worse on sitting,drawing pain in hip joints,1.0,1
back pain worse on sitting,hat band sensation remains after hat removed,1.0,1
back pain worse on sitting,bruised pain in elbow joints,1.0,1
back pain worse on sitting,stiffness of back,1.0,1
back pain worse on sitting,aching pain from loins to coccyx,1.0,1
back pain worse on sitting,cramps in soles evenings after lying down,1.0,1
back pain worse on sitting,burning on scapula,1.0,1
back pain worse on sitting,boring in joints of fingers,1.0,1
